method,data_fraction,seed,emotion,f1,precision,recall
setfit,0.25,42,sadness,0.5114503816793893,0.6320754716981132,0.42948717948717946
setfit,0.25,42,surprise,0.48,0.4925373134328358,0.46808510638297873
setfit,0.5,42,admiration,0.7031700288184438,0.6815642458100558,0.7261904761904762
setfit,0.5,42,amusement,0.7878787878787878,0.7441077441077442,0.8371212121212122
setfit,0.5,42,anger,0.35668789808917195,0.4827586206896552,0.2828282828282828
setfit,0.5,42,annoyance,0.35013262599469497,0.30414746543778803,0.4125
setfit,0.5,42,approval,0.3540983606557377,0.2872340425531915,0.46153846153846156
setfit,0.5,42,caring,0.36585365853658536,0.40540540540540543,0.3333333333333333
setfit,0.5,42,confusion,0.34615384615384615,0.33962264150943394,0.35294117647058826
setfit,0.5,42,curiosity,0.5345622119815668,0.47411444141689374,0.6126760563380281
setfit,0.5,42,desire,0.42748091603053434,0.5833333333333334,0.3373493975903614
setfit,0.5,42,disappointment,0.25316455696202533,0.3488372093023256,0.1986754966887417
setfit,0.5,42,disapproval,0.3827751196172249,0.3333333333333333,0.449438202247191
setfit,0.5,42,disgust,0.4270833333333333,0.5942028985507246,0.3333333333333333
setfit,0.5,42,embarrassment,0.375,0.8181818181818182,0.24324324324324326
setfit,0.5,42,excitement,0.3930635838150289,0.4857142857142857,0.3300970873786408
setfit,0.5,42,fear,0.6857142857142857,0.7741935483870968,0.6153846153846154
setfit,0.5,42,gratitude,0.901685393258427,0.8916666666666667,0.9119318181818182
setfit,0.5,42,grief,0.0,0.0,0.0
setfit,0.5,42,joy,0.5950920245398773,0.5878787878787879,0.6024844720496895
setfit,0.5,42,love,0.7735470941883767,0.7394636015325671,0.8109243697478992
setfit,0.5,42,nervousness,0.3333333333333333,0.7142857142857143,0.21739130434782608
setfit,0.5,42,neutral,0.5747800586510264,0.6879875195007801,0.493564633463906
setfit,0.5,42,optimism,0.5714285714285714,0.6097560975609756,0.5376344086021505
setfit,0.5,42,pride,0.11764705882352941,1.0,0.0625
setfit,0.5,42,realization,0.1686746987951807,0.20192307692307693,0.14482758620689656
setfit,0.5,42,relief,0.14285714285714285,0.3333333333333333,0.09090909090909091
setfit,0.5,42,remorse,0.6037735849056604,0.64,0.5714285714285714
setfit,0.5,42,sadness,0.5109489051094891,0.5932203389830508,0.44871794871794873
setfit,0.5,42,surprise,0.5163636363636364,0.5298507462686567,0.5035460992907801
setfit,1.0,42,admiration,0.6994219653179191,0.6797752808988764,0.7202380952380952
setfit,1.0,42,amusement,0.8092691622103387,0.7643097643097643,0.8598484848484849
setfit,1.0,42,anger,0.3961038961038961,0.5545454545454546,0.30808080808080807
setfit,1.0,42,annoyance,0.34593023255813954,0.3233695652173913,0.371875
setfit,1.0,42,approval,0.37132784958871917,0.316,0.45014245014245013
setfit,1.0,42,caring,0.4315352697095436,0.49056603773584906,0.3851851851851852
setfit,1.0,42,confusion,0.3858520900321543,0.379746835443038,0.39215686274509803
setfit,1.0,42,curiosity,0.5032258064516129,0.4642857142857143,0.5492957746478874
setfit,1.0,42,desire,0.4,0.5192307692307693,0.3253012048192771
setfit,1.0,42,disappointment,0.22321428571428573,0.3424657534246575,0.16556291390728478
setfit,1.0,42,disapproval,0.39158576051779936,0.34472934472934474,0.45318352059925093
setfit,1.0,42,disgust,0.44680851063829785,0.6461538461538462,0.34146341463414637
setfit,1.0,42,embarrassment,0.38461538461538464,0.6666666666666666,0.2702702702702703
setfit,1.0,42,excitement,0.35555555555555557,0.4155844155844156,0.3106796116504854
setfit,1.0,42,fear,0.6624203821656051,0.6582278481012658,0.6666666666666666
setfit,1.0,42,gratitude,0.9049645390070922,0.9036827195467422,0.90625
setfit,1.0,42,grief,0.0,0.0,0.0
setfit,1.0,42,joy,0.64,0.6341463414634146,0.6459627329192547
setfit,1.0,42,love,0.7793240556660039,0.7396226415094339,0.8235294117647058
setfit,1.0,42,nervousness,0.25806451612903225,0.5,0.17391304347826086
setfit,1.0,42,neutral,0.590372967803634,0.6859259259259259,0.5181869054280918
setfit,1.0,42,optimism,0.5384615384615384,0.550561797752809,0.5268817204301075
setfit,1.0,42,pride,0.0,0.0,0.0
setfit,1.0,42,realization,0.21333333333333335,0.3,0.16551724137931034
setfit,1.0,42,relief,0.0,0.0,0.0
setfit,1.0,42,remorse,0.5420560747663551,0.5686274509803921,0.5178571428571429
setfit,1.0,42,sadness,0.5167785234899329,0.5422535211267606,0.4935897435897436
setfit,1.0,42,surprise,0.5313653136531366,0.5538461538461539,0.5106382978723404
