method,data_fraction,seed,emotion,f1,precision,recall
distilbert,0.5,21,nervousness,0.0,0.0,0.0
distilbert,0.5,21,neutral,0.6299655927431967,0.7141843971631205,0.5635142697257974
distilbert,0.5,21,optimism,0.5292096219931272,0.7333333333333333,0.41397849462365593
distilbert,0.5,21,pride,0.0,0.0,0.0
distilbert,0.5,21,realization,0.0,0.0,0.0
distilbert,0.5,21,relief,0.0,0.0,0.0
distilbert,0.5,21,remorse,0.616822429906542,0.6470588235294118,0.5892857142857143
distilbert,0.5,21,sadness,0.47058823529411764,0.8,0.3333333333333333
distilbert,0.5,21,surprise,0.39800995024875624,0.6666666666666666,0.28368794326241137
distilbert,1.0,21,admiration,0.6928499496475328,0.7034764826175869,0.6825396825396826
distilbert,1.0,21,amusement,0.8293577981651377,0.8042704626334519,0.8560606060606061
distilbert,1.0,21,anger,0.4831804281345566,0.6124031007751938,0.398989898989899
distilbert,1.0,21,annoyance,0.19220779220779222,0.5692307692307692,0.115625
distilbert,1.0,21,approval,0.348,0.5838926174496645,0.24786324786324787
distilbert,1.0,21,caring,0.32222222222222224,0.6444444444444445,0.21481481481481482
distilbert,1.0,21,confusion,0.4034334763948498,0.5875,0.30718954248366015
distilbert,1.0,21,curiosity,0.46153846153846156,0.5428571428571428,0.4014084507042254
distilbert,1.0,21,desire,0.40350877192982454,0.7419354838709677,0.27710843373493976
distilbert,1.0,21,disappointment,0.16568047337278108,0.7777777777777778,0.09271523178807947
distilbert,1.0,21,disapproval,0.3373493975903614,0.47297297297297297,0.26217228464419473
distilbert,1.0,21,disgust,0.4418604651162791,0.7755102040816326,0.3089430894308943
distilbert,1.0,21,embarrassment,0.18604651162790697,0.6666666666666666,0.10810810810810811
distilbert,1.0,21,excitement,0.35555555555555557,0.75,0.23300970873786409
distilbert,1.0,21,fear,0.6758620689655173,0.7313432835820896,0.6282051282051282
distilbert,1.0,21,gratitude,0.9212827988338192,0.9461077844311377,0.8977272727272727
distilbert,1.0,21,grief,0.0,0.0,0.0
distilbert,1.0,21,joy,0.6093189964157706,0.7203389830508474,0.5279503105590062
distilbert,1.0,21,love,0.8232848232848233,0.8148148148148148,0.8319327731092437
distilbert,1.0,21,nervousness,0.0,0.0,0.0
distilbert,1.0,21,neutral,0.6418461538461538,0.7129186602870813,0.5836597649692221
distilbert,1.0,21,optimism,0.5659163987138264,0.704,0.4731182795698925
distilbert,1.0,21,pride,0.0,0.0,0.0
distilbert,1.0,21,realization,0.13836477987421383,0.7857142857142857,0.07586206896551724
distilbert,1.0,21,relief,0.0,0.0,0.0
distilbert,1.0,21,remorse,0.6666666666666666,0.639344262295082,0.6964285714285714
distilbert,1.0,21,sadness,0.5725490196078431,0.7373737373737373,0.46794871794871795
distilbert,1.0,21,surprise,0.48945147679324896,0.6041666666666666,0.41134751773049644
distilbert,0.01,42,admiration,0.0,0.0,0.0
distilbert,0.01,42,amusement,0.0,0.0,0.0
distilbert,0.01,42,anger,0.0,0.0,0.0
distilbert,0.01,42,annoyance,0.0,0.0,0.0
distilbert,0.01,42,approval,0.0,0.0,0.0
distilbert,0.01,42,caring,0.0,0.0,0.0
distilbert,0.01,42,confusion,0.0,0.0,0.0
distilbert,0.01,42,curiosity,0.0,0.0,0.0
distilbert,0.01,42,desire,0.0,0.0,0.0
